5,01.01.2023,14278,RUB
5,02.01.2023,48220,RUB
5,03.01.2023,20248,RUB
5,04.01.2023,34486,RUB
5,05.01.2023,26747,RUB
5,06.01.2023,27603,RUB
5,07.01.2023,20088,RUB
5,08.01.2023,14777,RUB
5,09.01.2023,38945,RUB
5,10.01.2023,40790,RUB
5,11.01.2023,14309,RUB
5,12.01.2023,36139,RUB
5,13.01.2023,16998,RUB
5,14.01.2023,49426,RUB
5,15.01.2023,43721,RUB
5,16.01.2023,46505,RUB
5,17.01.2023,37636,RUB
5,18.01.2023,49821,RUB
5,19.01.2023,36960,RUB
5,20.01.2023,39574,RUB
5,21.01.2023,44262,RUB
5,22.01.2023,23143,RUB
5,23.01.2023,11928,RUB
5,24.01.2023,38011,RUB
5,25.01.2023,30888,RUB
5,26.01.2023,11692,RUB
5,27.01.2023,48464,RUB
5,28.01.2023,23573,RUB
5,29.01.2023,48669,RUB
5,30.01.2023,29811,RUB
5,31.01.2023,38777,RUB
5,01.02.2023,13493,RUB
5,02.02.2023,17476,RUB
5,03.02.2023,46043,RUB
5,04.02.2023,43066,RUB
5,05.02.2023,48520,RUB
5,06.02.2023,28892,RUB
5,07.02.2023,47364,RUB
5,08.02.2023,34730,RUB
5,09.02.2023,10456,RUB
5,10.02.2023,47211,RUB
5,11.02.2023,16857,RUB
5,12.02.2023,32962,RUB
5,13.02.2023,45653,RUB
5,14.02.2023,11460,RUB
5,15.02.2023,42933,RUB
5,16.02.2023,10064,RUB
5,17.02.2023,15759,RUB
5,18.02.2023,34172,RUB
5,19.02.2023,11210,RUB
5,20.02.2023,46647,RUB
5,21.02.2023,28238,RUB
5,22.02.2023,41552,RUB
5,23.02.2023,49455,RUB
5,24.02.2023,29923,RUB
5,25.02.2023,36466,RUB
5,26.02.2023,44926,RUB
5,27.02.2023,21432,RUB
5,28.02.2023,28688,RUB
5,01.03.2023,22913,RUB
5,02.03.2023,34756,RUB
5,03.03.2023,17345,RUB
5,04.03.2023,13057,RUB
5,05.03.2023,28770,RUB
5,06.03.2023,46233,RUB
5,07.03.2023,46488,RUB
5,08.03.2023,17949,RUB
5,09.03.2023,29510,RUB
5,10.03.2023,19374,RUB
