658,2023-11-01,2023-11-08,product_1,cancelled,9990,3,0,RUB,Katy,5,vk-ads,cpc,campaign_2,,,
97,2023-08-17,2023-08-26,product_3,completed,49900,5,49899,RUB,John,1,facebook-ads,cpc,campaign_1,,,
1243,2023-02-12,2023-02-25,product_4,cancelled,89900,5,0,RUB,John,1,facebook-ads,cpc,campaign_3,,,
1441,2023-05-10,2023-05-20,product_2,in progress,18990,3,0,RUB,Will,8,yandex-direct,cpc,campaign_3,,,
199,2023-08-14,2023-08-23,product_2,cancelled,18990,7,0,RUB,Katy,5,facebook-ads,cpc,campaign_2,,,
1252,2023-06-23,2023-07-07,product_4,cancelled,89900,5,0,RUB,Anny,2,yandex-direct,cpc,campaign_2,,,
406,2023-11-18,2023-11-29,product_1,cancelled,9990,7,0,RUB,Katy,9,yandex-direct,cpc,campaign_1,,,
1103,2023-05-14,2023-05-27,product_2,cancelled,18990,7,0,RUB,Katy,9,vk-ads,cpc,campaign_3,,,
854,2023-11-10,2023-11-20,product_3,completed,49900,5,49892,RUB,Will,3,yandex-direct,cpc,campaign_2,,,
725,2023-03-28,2023-04-02,product_4,cancelled,89900,5,0,RUB,Will,10,vk-ads,cpc,campaign_1,,,
98,2023-01-17,2023-01-23,product_2,completed,18990,5,18980,RUB,John,4,facebook-ads,cpc,campaign_2,,,
42,2023-05-30,2023-06-03,product_2,cancelled,18990,5,0,RUB,John,1,facebook-ads,cpc,campaign_2,,,
679,2023-08-20,2023-08-31,product_1,completed,9990,7,9978,RUB,Will,5,vk-ads,cpc,campaign_2,,,
790,2023-02-11,2023-02-17,product_1,in progress,9990,5,0,RUB,John,4,yandex-direct,cpc,campaign_2,,,
1360,2023-05-31,2023-06-03,product_1,in progress,9990,3,0,RUB,Will,9,facebook-ads,cpc,campaign_1,,,
741,2023-07-24,2023-07-26,product_1,completed,9990,5,9975,RUB,Anny,2,yandex-direct,cpc,campaign_1,,,
1218,2023-04-06,2023-04-08,product_4,cancelled,89900,7,0,RUB,John,6,facebook-ads,cpc,campaign_1,,,
601,2023-11-05,2023-11-06,product_1,completed,9990,3,9973,RUB,John,1,yandex-direct,cpc,campaign_2,,,
309,2023-02-03,2023-02-03,product_3,completed,49900,7,49882,RUB,Katy,1,facebook-ads,cpc,campaign_1,,,
714,2023-10-26,2023-11-06,product_2,in progress,18990,7,0,RUB,Will,8,yandex-direct,cpc,campaign_1,,,
1038,2023-06-18,2023-06-21,product_1,cancelled,9990,7,0,RUB,Katy,9,facebook-ads,cpc,campaign_1,,,
836,2023-06-15,2023-06-29,product_3,cancelled,49900,5,0,RUB,Anny,10,vk-ads,cpc,campaign_3,,,
72,2023-07-15,2023-07-19,product_3,cancelled,49900,5,0,RUB,Anny,1,yandex-direct,cpc,campaign_3,,,
321,2023-12-02,2023-12-05,product_4,cancelled,89900,5,0,RUB,Will,4,yandex-direct,cpc,campaign_2,,,
617,2023-02-24,2023-03-06,product_4,cancelled,89900,7,0,RUB,John,7,yandex-direct,cpc,campaign_3,,,
338,2023-03-06,2023-03-06,product_4,completed,89900,3,89875,RUB,Anny,2,facebook-ads,cpc,campaign_1,,,
1400,2023-03-12,2023-03-14,product_2,cancelled,18990,3,0,RUB,Anny,1,facebook-ads,cpc,campaign_2,,,
1203,2023-06-20,2023-06-23,product_3,completed,49900,5,49873,RUB,Anny,10,yandex-direct,cpc,campaign_2,,,
836,2023-12-28,2024-01-07,product_2,in progress,18990,5,0,RUB,Anny,2,vk-ads,cpc,campaign_1,,,
816,2023-03-06,2023-03-14,product_2,cancelled,18990,3,0,RUB,Anny,5,yandex-direct,cpc,campaign_2,,,
176,2023-03-09,2023-03-20,product_2,completed,18990,5,18960,RUB,Anny,6,facebook-ads,cpc,campaign_2,,,
405,2023-02-25,2023-02-25,product_3,cancelled,49900,3,0,RUB,Katy,2,vk-ads,cpc,campaign_1,,,
822,2023-02-22,2023-02-25,product_2,cancelled,18990,7,0,RUB,Will,2,vk-ads,cpc,campaign_2,,,
935,2023-02-07,2023-02-14,product_3,completed,49900,5,49867,RUB,Katy,6,facebook-ads,cpc,campaign_2,,,
1255,2023-07-28,2023-07-29,product_1,in progress,9990,5,0,RUB,Will,6,facebook-ads,cpc,campaign_1,,,
336,2023-06-02,2023-06-12,product_1,in progress,9990,7,0,RUB,Katy,8,yandex-direct,cpc,campaign_1,,,
1359,2023-01-30,2023-02-02,product_4,cancelled,89900,5,0,RUB,Katy,7,facebook-ads,cpc,campaign_2,,,
1253,2023-03-25,2023-03-29,product_2,in progress,18990,7,0,RUB,Katy,4,facebook-ads,cpc,campaign_1,,,
78,2023-10-10,2023-10-15,product_2,in progress,18990,7,0,RUB,John,6,facebook-ads,cpc,campaign_1,,,
524,2023-03-18,2023-03-22,product_3,in progress,49900,7,0,RUB,John,2,vk-ads,cpc,campaign_1,,,
1385,2023-09-01,2023-09-03,product_4,in progress,89900,5,0,RUB,Katy,9,vk-ads,cpc,campaign_3,,,
639,2023-04-13,2023-04-14,product_1,cancelled,9990,5,0,RUB,Will,10,yandex-direct,cpc,campaign_2,,,
1024,2023-09-30,2023-10-13,product_4,completed,89900,7,89858,RUB,Anny,4,vk-ads,cpc,campaign_2,,,
607,2023-03-10,2023-03-15,product_2,completed,18990,3,18947,RUB,John,3,yandex-direct,cpc,campaign_3,,,
667,2023-09-23,2023-09-28,product_3,cancelled,49900,5,0,RUB,Anny,3,yandex-direct,cpc,campaign_2,,,
1475,2023-04-26,2023-05-07,product_2,cancelled,18990,3,0,RUB,Anny,7,vk-ads,cpc,campaign_2,,,
1113,2023-02-17,2023-02-27,product_2,in progress,18990,3,0,RUB,Anny,10,yandex-direct,cpc,campaign_2,,,
1107,2023-03-26,2023-04-08,product_1,in progress,9990,3,0,RUB,Anny,5,vk-ads,cpc,campaign_3,,,
909,2023-03-09,2023-03-22,product_3,cancelled,49900,7,0,RUB,John,2,facebook-ads,cpc,campaign_2,,,
1269,2023-09-19,2023-09-24,product_3,cancelled,49900,7,0,RUB,Anny,10,yandex-direct,cpc,campaign_2,,,
314,2023-03-05,2023-03-12,product_3,cancelled,49900,3,0,RUB,Anny,10,yandex-direct,cpc,campaign_1,,,
385,2023-02-15,2023-02-22,product_4,in progress,89900,3,0,RUB,Will,7,vk-ads,cpc,campaign_1,,,
291,2023-09-20,2023-09-27,product_4,cancelled,89900,7,0,RUB,John,6,facebook-ads,cpc,campaign_2,,,
139,2023-09-30,2023-10-02,product_4,completed,89900,7,89847,RUB,Anny,3,vk-ads,cpc,campaign_3,,,
706,2023-04-22,2023-04-27,product_3,completed,49900,7,49846,RUB,Will,7,yandex-direct,cpc,campaign_1,,,
130,2023-05-22,2023-05-23,product_1,in progress,9990,7,0,RUB,Anny,5,vk-ads,cpc,campaign_3,,,
444,2023-07-15,2023-07-18,product_1,cancelled,9990,7,0,RUB,Will,5,yandex-direct,cpc,campaign_2,,,
570,2023-05-30,2023-06-08,product_3,in progress,49900,5,0,RUB,John,7,facebook-ads,cpc,campaign_3,,,
261,2023-04-18,2023-05-01,product_1,completed,9990,3,9932,RUB,Katy,9,yandex-direct,cpc,campaign_2,,,
303,2023-08-09,2023-08-10,product_2,cancelled,18990,3,0,RUB,Anny,9,vk-ads,cpc,campaign_1,,,
1173,2023-11-03,2023-11-03,product_3,cancelled,49900,5,0,RUB,Katy,8,facebook-ads,cpc,campaign_3,,,
1072,2023-01-28,2023-01-28,product_3,cancelled,49900,7,0,RUB,Will,2,yandex-direct,cpc,campaign_2,,,
285,2023-07-19,2023-07-25,product_3,in progress,49900,7,0,RUB,John,10,yandex-direct,cpc,campaign_3,,,
220,2023-07-23,2023-08-02,product_4,in progress,89900,5,0,RUB,Anny,3,yandex-direct,cpc,campaign_1,,,
21,2023-11-23,2023-11-24,product_1,cancelled,9990,3,0,RUB,John,3,vk-ads,cpc,campaign_1,,,
320,2023-01-04,2023-01-17,product_1,in progress,9990,3,0,RUB,Katy,4,facebook-ads,cpc,campaign_1,,,
266,2023-01-06,2023-01-15,product_2,cancelled,18990,7,0,RUB,Will,7,vk-ads,cpc,campaign_3,,,
561,2023-11-05,2023-11-07,product_4,in progress,89900,5,0,RUB,John,1,facebook-ads,cpc,campaign_1,,,
1154,2023-12-23,2024-01-04,product_4,in progress,89900,3,0,RUB,Anny,1,facebook-ads,cpc,campaign_1,,,
44,2023-08-18,2023-08-27,product_1,in progress,9990,3,0,RUB,John,4,facebook-ads,cpc,campaign_2,,,
1317,2023-03-22,2023-03-28,product_3,completed,49900,5,49830,RUB,John,5,yandex-direct,cpc,campaign_2,,,
324,2023-11-13,2023-11-25,product_4,completed,89900,3,89829,RUB,Anny,2,facebook-ads,cpc,campaign_3,,,
431,2023-05-02,2023-05-05,product_2,cancelled,18990,3,0,RUB,Katy,8,vk-ads,cpc,campaign_1,,,
877,2023-04-03,2023-04-15,product_3,completed,49900,3,49827,RUB,John,1,yandex-direct,cpc,campaign_1,,,
255,2023-11-19,2023-11-20,product_4,completed,89900,7,89826,RUB,Katy,2,yandex-direct,cpc,campaign_2,,,
1086,2023-03-13,2023-03-24,product_3,completed,49900,3,49825,RUB,Will,10,yandex-direct,cpc,campaign_3,,,
191,2023-08-14,2023-08-19,product_3,completed,49900,7,49824,RUB,Katy,4,vk-ads,cpc,campaign_1,,,
